Casa,Brand,Family,Item Code,Smart,Inches,Resolution,Tot Qty,Unit Price,Revenue,Refresh Rate,Sound Quality,Connectivity Options,Energy Efficiency,Pixel Density (PPI),Response Time (ms),Month
South,LG,LED,PLED50S,Yes,40,UHD,91,295,26845,60,Basic,2,D,29.3720956,10,April
South,Samsung,LED,PLED32,Yes,40,UHD,91,296,26936,60,Basic,2,D,45.89389938,10,April
South,Samsung,LED,LED52,Yes,40,UHD,90,298,26820,120,Basic,2,D,42.36359942,4,April
South,Samsung,LED,PLED43S,Yes,40,UHD,91,298,27118,60,Basic,2,D,51.2303993,10,April
Beirut,Samsung,LED,PLED32,Yes,40,UHD,102,299,30498,60,Basic,2,D,45.89389938,10,April
South,Panasonic,LED,PLED50,Yes,40,FHD,91,301,27391,60,Basic,2,D,29.3720956,10,April
South,Panasonic,LED,PLE45S,Yes,45,UHD,89,304,27056,120,Enhanced,3,D,28.24239962,4,April
Bekaa,Sony,LED,T50,Yes,58,FHD,113,326,36838,120,Enhanced,3,B,35.81962878,4,April
Beirut,Samsung,LED,PLED32,Yes,43,HD,100,331,33100,60,Basic,2,D,45.89389938,10,April
Beirut,TCL,LED,LED50S,Yes,43,HD,98,336,32928,120,Premium,3,D,51.2303993,4,April
Beirut,LG,LED,LED50S,Yes,43,HD,101,337,34037,60,Basic,2,C,29.3720956,10,April
Beirut,LG,LED,PLED32S,Yes,43,HD,98,338,33124,60,Basic,2,C,45.89389938,10,April
Beirut,Panasonic,LED,T58,Yes,43,HD,101,339,34239,120,Basic,2,C,25.32077207,4,April
Beirut,Panasonic,LED,PLED32,Yes,43,HD,99,341,33759,60,Basic,2,C,45.89389938,10,April
South,Panasonic,LED,PLED32,Yes,43,HD,90,342,30780,60,Basic,2,C,45.89389938,10,April
South,Sony,LED,PLED25,Yes,43,FHD,84,342,28728,120,Premium,3,B,80.10571528,4,April
South,LG,LED,LED55,Yes,43,HD,91,343,31213,120,Basic,2,C,40.05285764,4,April
South,Panasonic,LED,PLED50S,Yes,43,FHD,90,345,31050,60,Basic,2,C,29.3720956,10,April
Beirut,Panasonic,LED,PLED41S,Yes,43,FHD,99,345,34155,60,Basic,2,C,53.72944317,10,April
Beirut,Panasonic,LED,PLED32S,Yes,43,FHD,100,345,34500,60,Basic,2,C,45.89389938,10,April
South,Panasonic,LED,PLED45S,Yes,43,FHD,91,347,31577,60,Basic,2,C,32.63566178,10,April
Beirut,LG,LED,PLED32,Yes,43,FHD,99,352,34848,60,Basic,2,C,45.89389938,10,April
Beirut,LG,LED,T40,Yes,43,FHD,102,354,36108,60,Basic,2,C,36.7151195,10,April
South,LG,LED,PLED50,Yes,43,FHD,91,354,32214,60,Basic,2,C,29.3720956,10,April
South,Panasonic,LED,PLED43S,Yes,43,UHD,90,356,32040,60,Basic,2,C,51.2303993,10,April
South,LG,LED,PLED45S,Yes,43,UHD,91,356,32396,60,Basic,2,C,32.63566178,10,April
South,LG,LED,PLED50,Yes,43,UHD,91,357,32487,60,Basic,2,C,29.3720956,10,April
South,Panasonic,LED,PLED29,Yes,43,UHD,90,358,32220,60,Basic,2,C,50.64154414,10,April
Beirut,Panasonic,LED,PLED29,Yes,43,UHD,98,360,35280,60,Basic,2,C,50.64154414,10,April
South,Sony,LED,PLED32,Yes,43,HD,91,360,32760,60,Basic,2,C,45.89389938,10,April
South,Panasonic,LED,PLED32,Yes,43,UHD,91,361,32851,60,Basic,2,C,45.89389938,10,April
South,Panasonic,LED,PLED29,Yes,43,UHD,90,363,32670,60,Basic,2,C,50.64154414,10,April
South,LG,LED,PLED45S,Yes,43,UHD,90,364,32760,60,Basic,2,C,32.63566178,10,April
South,LG,LED,PLED40,Yes,43,UHD,90,365,32850,60,Basic,2,C,36.7151195,10,April
Beirut,Sony,LED,PLED32,Yes,43,UHD,100,365,36500,60,Basic,2,C,45.89389938,10,April
South,LG,LED,PLED50,Yes,43,UHD,91,366,33306,60,Basic,2,C,29.3720956,10,April
South,Panasonic,LED,LED55,Yes,45,HD,91,368,33488,120,Basic,2,C,40.05285764,4,April
South,Sony,LED,LED55U,Yes,45,HD,90,369,33210,120,Basic,2,C,80.10571528,4,April
South,LG,LED,PLED50,Yes,45,HD,90,369,33210,60,Basic,2,C,29.3720956,10,April
South,Panasonic,LED,PLED32,Yes,45,HD,91,369,33579,60,Basic,2,C,45.89389938,10,April
Beirut,Panasonic,LED,LED55,Yes,45,HD,100,370,37000,120,Basic,2,C,40.05285764,4,April
Beirut,Panasonic,LED,PLED50,Yes,45,HD,100,371,37100,60,Basic,2,C,29.3720956,10,April
South,Panasonic,LED,PLED41,Yes,45,HD,90,371,33390,60,Basic,2,C,53.72944317,10,April
Beirut,TCL,LED,PLED25,Yes,52,HD,93,371,34503,60,Enhanced,3,C,35.81962878,10,April
Beirut,LG,LED,PLED32,Yes,45,HD,101,372,37572,60,Basic,2,C,45.89389938,10,April
Beirut,Sony,LED,PLED32S,Yes,45,HD,100,372,37200,60,Basic,2,C,45.89389938,10,April
Beirut,LG,LED,PLED32,Yes,45,HD,101,373,37673,60,Basic,2,C,45.89389938,10,April
South,LG,LED,LED55,Yes,45,HD,90,373,33570,120,Basic,2,C,40.05285764,4,April
South,Panasonic,LED,LED50U,Yes,45,HD,91,373,33943,60,Basic,2,C,88.1162868,10,April
South,LG,LED,LED55U,Yes,45,HD,90,374,33660,120,Basic,2,C,80.10571528,4,April
South,LG,LED,PLED25,Yes,45,HD,90,374,33660,60,Basic,2,C,58.7441912,10,April
South,LG,LED,LED65U,Yes,45,HD,90,374,33660,120,Basic,2,C,67.78175908,4,April
South,LG,LED,PLED25,Yes,45,HD,91,375,34125,60,Basic,2,C,58.7441912,10,April
South,Panasonic,LED,PLED40,Yes,45,HD,91,376,34216,60,Basic,2,C,36.7151195,10,April
South,LG,LED,PLED32,Yes,45,FHD,90,377,33930,60,Basic,2,C,45.89389938,10,April
South,Panasonic,LED,LED55,Yes,45,HD,90,377,33930,120,Basic,2,C,40.05285764,4,April
Beirut,Sony,LED,LED50U,Yes,45,FHD,100,379,37900,60,Basic,2,C,88.1162868,10,April
South,LG,LED,PLED25,Yes,45,FHD,90,379,34110,60,Basic,2,C,58.7441912,10,April
South,Panasonic,LED,PLED40S,Yes,45,FHD,91,379,34489,60,Basic,2,C,36.7151195,10,April
South,Panasonic,LED,PLED25,Yes,45,FHD,90,380,34200,60,Basic,2,C,58.7441912,10,April
South,LG,LED,PLED43S,Yes,45,FHD,90,384,34560,60,Basic,2,C,51.2303993,10,April
South,Panasonic,LED,LED 55U,Yes,45,FHD,90,384,34560,120,Basic,2,C,80.10571528,4,April
Beirut,LG,LED,T43,Yes,45,FHD,99,384,38016,60,Basic,2,C,34.15359954,10,April
South,Sony,LED,PLED32,Yes,45,FHD,90,385,34650,60,Basic,2,C,45.89389938,10,April
South,Panasonic,LED,PLED32,Yes,45,FHD,90,386,34740,60,Basic,2,C,45.89389938,10,April
South,TCL,LED,LED65U,Yes,45,FHD,90,387,34830,120,Enhanced,3,C,67.78175908,4,April
Bekaa,Sony,LED,PLE45S,Yes,52,FHD,108,389,42012,120,Premium,3,D,75.96231621,4,April
South,Sony,LED,LED65U,Yes,45,UHD,90,390,35100,120,Basic,2,C,67.78175908,4,April
South,TCL,LED,LED50S,Yes,45,FHD,90,390,35100,60,Premium,2,C,25.32077207,10,April
South,Sony,LED,PLED32,Yes,45,UHD,90,390,35100,60,Basic,2,C,45.89389938,10,April
South,LG,LED,PLED40,Yes,45,UHD,91,391,35581,60,Basic,2,C,36.7151195,10,April
Beirut,Sony,LED,T50,Yes,45,UHD,99,392,38808,60,Basic,2,C,29.3720956,10,April
South,LG,LED,LED50S,Yes,45,UHD,90,392,35280,60,Basic,2,C,29.3720956,10,April
Beirut,Sony,LED,PLED43S,Yes,45,UHD,102,393,40086,60,Basic,2,C,51.2303993,10,April
Beirut,Sony,LED,PLED32S,Yes,45,UHD,101,394,39794,60,Basic,2,C,45.89389938,10,April
South,LG,LED,LED50S,Yes,45,UHD,90,395,35550,60,Basic,2,C,29.3720956,10,April
Beirut,Panasonic,LED,PLED29,Yes,45,UHD,99,395,39105,60,Basic,2,C,50.64154414,10,April
South,Sony,LED,PLED25,Yes,45,UHD,91,395,35945,60,Basic,2,C,58.7441912,10,April
Beirut,LG,LED,PLED41,Yes,55,UHD,59,396,23364,60,Basic,2,E,53.72944317,10,April
South,Panasonic,LED,PLED32,Yes,50,HD,91,399,36309,60,Basic,2,C,45.89389938,10,April
South,Sony,LED,PLED29,Yes,50,HD,91,400,36400,60,Basic,2,C,50.64154414,10,April
Beirut,Sony,LED,PLED50,Yes,50,HD,102,406,41412,60,Basic,2,C,29.3720956,10,April
South,LG,LED,PLED50S,Yes,50,FHD,90,407,36630,60,Basic,2,C,29.3720956,10,April
South,LG,LED,LED55,Yes,50,FHD,90,407,36630,120,Basic,2,C,40.05285764,4,April
South,Sony,LED,PLED43S,Yes,50,HD,91,409,37219,60,Basic,2,C,51.2303993,10,April
Beirut,TCL,LED,LED50S,Yes,50,HD,99,410,40590,60,Premium,3,C,53.72944317,10,April
South,Panasonic,LED,PLED43S,Yes,50,HD,91,410,37310,60,Basic,2,C,51.2303993,10,April
South,Sony,LED,PLED32S,Yes,50,HD,90,411,36990,60,Basic,2,C,45.89389938,10,April
South,Sony,LED,PLED50S,Yes,50,FHD,91,412,37492,60,Basic,2,C,29.3720956,10,April
Beirut,Sony,LED,LED55,Yes,50,FHD,98,413,40474,120,Basic,2,C,40.05285764,4,April
Beirut,Sony,LED,PLED40S,Yes,50,FHD,102,413,42126,60,Basic,2,C,36.7151195,10,April
South,Panasonic,LED,PLED43S,Yes,50,FHD,90,414,37260,60,Basic,2,C,51.2303993,10,April
South,Panasonic,LED,LED55U,Yes,50,FHD,90,415,37350,120,Basic,2,C,80.10571528,4,April
Beirut,Panasonic,LED,LED55,Yes,50,FHD,98,415,40670,120,Basic,2,C,40.05285764,4,April
South,LG,LED,LED55,Yes,50,UHD,90,415,37350,120,Basic,2,C,40.05285764,4,April
Beirut,Sony,LED,PLED43S,Yes,50,FHD,101,418,42218,60,Basic,2,C,51.2303993,10,April
Beirut,Panasonic,LED,T32,Yes,50,FHD,102,419,42738,60,Basic,2,C,45.89389938,10,April
Beirut,Sony,LED,PLED32,Yes,50,FHD,100,419,41900,60,Basic,2,C,45.89389938,10,April
Beirut,Sony,LED,PLED25,Yes,50,FHD,99,421,41679,60,Basic,2,C,58.7441912,10,April
Beirut,Panasonic,LED,LED55,Yes,50,FHD,101,422,42622,120,Basic,2,C,40.05285764,4,April
North,Panasonic,LED,PLED43S,Yes,50,FHD,78,422,32916,60,Basic,2,C,51.2303993,10,April
South,Panasonic,LED,LED65U,Yes,50,FHD,90,425,38250,120,Basic,2,C,67.78175908,4,April
Bekaa,Panasonic,LED,PLED25,Yes,50,FHD,120,425,51000,60,Premium,2,B,45.89389938,10,April
South,Sony,LED,PLED25,Yes,50,FHD,91,426,38766,60,Basic,2,C,58.7441912,10,April
Beirut,Sony,LED,PLED32,Yes,50,UHD,99,427,42273,60,Basic,2,C,45.89389938,10,April
Beirut,Sony,LED,PLED41,Yes,50,UHD,101,427,43127,60,Basic,2,C,53.72944317,10,April
South,Sony,LED,LED58U,Yes,50,UHD,90,430,38700,120,Basic,2,C,75.96231621,4,April
South,Sony,LED,LED50S,Yes,50,UHD,90,431,38790,60,Basic,2,C,29.3720956,10,April
South,TCL,LED,LED50S,Yes,50,UHD,91,431,39221,120,Premium,2,C,75.96231621,4,April
Mount Lebanon,LG,LED,T58,Yes,40,UHD,109,433,47197,60,Basic,2,A,102.4607986,10,April
South,Panasonic,LED,PLED40,Yes,50,UHD,90,434,39060,60,Basic,2,B,36.7151195,10,April
South,Panasonic,LED,LED55,Yes,50,UHD,90,434,39060,120,Basic,2,B,40.05285764,4,April
South,Panasonic,LED,PLED40,Yes,50,UHD,91,435,39585,60,Basic,2,B,36.7151195,10,April
South,Panasonic,LED,T32,Yes,50,UHD,91,435,39585,60,Basic,2,B,45.89389938,10,April
South,Panasonic,LED,PLED50S,Yes,50,UHD,90,436,39240,60,Basic,2,B,29.3720956,10,April
South,Panasonic,LED,PLED50,Yes,50,UHD,90,437,39330,60,Basic,2,B,29.3720956,10,April
Beirut,TCL,LED,LED50S,Yes,50,UHD,98,437,42826,60,Premium,2,B,53.72944317,10,April
Beirut,Panasonic,LED,LED75U,Yes,40,FHD,100,437,43700,120,Enhanced,2,C,22.59391969,4,April
Bekaa,Panasonic,LED,PLED43S,Yes,50,UHD,78,438,34164,60,Basic,2,B,51.2303993,10,April
Beirut,Sony,LED,T40,Yes,50,UHD,99,438,43362,60,Basic,2,B,36.7151195,10,April
North,Sony,LED,LED55,Yes,50,UHD,78,439,34242,120,Basic,2,B,40.05285764,4,April
South,Panasonic,LED,PLED50,Yes,50,UHD,90,440,39600,60,Basic,2,B,29.3720956,10,April
Beirut,Sony,LED,PLED32,Yes,50,UHD,102,441,44982,60,Basic,2,B,45.89389938,10,April
North,Sony,LED,PLED50,Yes,52,HD,78,442,34476,60,Basic,2,B,29.3720956,10,April
Beirut,Panasonic,LED,PLED29,Yes,52,HD,98,443,43414,60,Basic,2,B,50.64154414,10,April
Beirut,Panasonic,LED,PLED32,Yes,52,HD,102,444,45288,60,Basic,2,B,45.89389938,10,April
Bekaa,TCL,LED,LED50S,Yes,52,HD,77,445,34265,60,Premium,2,B,45.89389938,10,April
North,Panasonic,LED,PLED32,Yes,52,HD,78,446,34788,60,Basic,2,B,45.89389938,10,April
South,Sony,LED,PLED40S,Yes,52,HD,91,447,40677,60,Basic,2,B,36.7151195,10,April
North,Sony,LED,PLED43S,Yes,52,HD,78,448,34944,60,Basic,2,B,51.2303993,10,April
South,Panasonic,LED,PLED32,Yes,52,HD,90,448,40320,60,Basic,2,B,45.89389938,10,April
Bekaa,TCL,LED,PLED41S,Yes,45,FHD,89,448,39872,120,Basic,2,E,97.90698534,4,April
North,Panasonic,LED,PLED32,Yes,52,HD,78,449,35022,60,Basic,2,B,45.89389938,10,April
Beirut,Sony,LED,PLED40S,Yes,52,HD,101,451,45551,60,Basic,2,B,36.7151195,10,April
South,Sony,LED,T40,Yes,52,HD,90,451,40590,60,Basic,2,B,36.7151195,10,April
South,Panasonic,LED,LED55U,Yes,52,HD,90,452,40680,120,Basic,2,B,80.10571528,4,April
North,Panasonic,LED,LED55U,Yes,52,HD,78,452,35256,120,Basic,2,B,80.10571528,4,April
South,Sony,LED,PLED25,Yes,52,HD,91,453,41223,60,Basic,2,B,58.7441912,10,April
North,Sony,LED,PLED40S,Yes,52,HD,78,454,35412,60,Basic,2,B,36.7151195,10,April
South,Sony,LED,PLED32,Yes,52,HD,91,454,41314,60,Basic,2,B,45.89389938,10,April
South,Panasonic,LED,LED55,Yes,52,FHD,91,456,41496,120,Basic,2,B,40.05285764,4,April
Bekaa,Sony,LED,PLED32S,Yes,52,HD,78,457,35646,60,Basic,2,B,45.89389938,10,April
North,Panasonic,LED,LED52,Yes,52,FHD,78,457,35646,120,Basic,2,B,42.36359942,4,April
Bekaa,Sony,LED,LED50U,Yes,52,HD,77,458,35266,60,Basic,2,B,88.1162868,10,April
North,Panasonic,LED,PLED32,Yes,52,FHD,78,460,35880,60,Basic,2,B,45.89389938,10,April
South,Sony,LED,PLED43,Yes,52,HD,91,460,41860,60,Basic,2,B,51.2303993,10,April
Bekaa,Sony,LED,PLED32,Yes,52,FHD,78,462,36036,60,Basic,2,B,45.89389938,10,April
North,Sony,LED,PLED41,Yes,52,FHD,78,462,36036,60,Basic,2,B,53.72944317,10,April
Bekaa,Sony,LED,PLED32,Yes,52,FHD,77,463,35651,60,Basic,2,B,45.89389938,10,April
South,Panasonic,LED,PLED40S,Yes,52,FHD,90,463,41670,60,Basic,2,B,36.7151195,10,April
Bekaa,Panasonic,LED,LED55,Yes,52,FHD,77,464,35728,120,Basic,2,B,40.05285764,4,April
North,Panasonic,LED,PLED50,Yes,52,FHD,78,465,36270,60,Basic,2,B,29.3720956,10,April
Bekaa,Sony,LED,LED55,Yes,52,FHD,77,467,35959,120,Basic,2,B,40.05285764,4,April
Bekaa,Panasonic,LED,PLED25,Yes,52,FHD,78,467,36426,60,Basic,2,B,58.7441912,10,April
North,Panasonic,LED,LED55U,Yes,52,FHD,78,468,36504,120,Basic,2,B,80.10571528,4,April
Bekaa,Sony,LED,PLED40S,Yes,52,FHD,77,469,36113,60,Basic,2,B,36.7151195,10,April
Bekaa,Sony,LED,PLED32,Yes,52,FHD,77,469,36113,60,Basic,2,B,45.89389938,10,April
South,Panasonic,LED,PLED40S,Yes,40,FHD,76,469,35644,120,Premium,3,C,151.9246324,4,April
Bekaa,Panasonic,LED,PLED43S,Yes,52,UHD,77,470,36190,60,Basic,2,B,51.2303993,10,April
North,Panasonic,LED,LED65U,Yes,52,UHD,78,470,36660,120,Basic,2,B,67.78175908,4,April
South,Sony,LED,PLED32S,Yes,52,FHD,90,470,42300,60,Basic,2,B,45.89389938,10,April
North,Sony,LED,LED55,Yes,52,FHD,78,470,36660,120,Basic,2,B,40.05285764,4,April
Beirut,LG,LED,LED50S,Yes,50,UHD,88,470,41360,60,Enhanced,2,B,53.72944317,10,April
South,Panasonic,LED,PLED25,Yes,52,UHD,90,473,42570,60,Basic,2,B,58.7441912,10,April
North,Sony,LED,LED55,Yes,52,FHD,78,473,36894,120,Basic,2,B,40.05285764,4,April
South,Sony,LED,LED65U,Yes,52,FHD,90,474,42660,120,Basic,2,B,67.78175908,4,April
North,Sony,LED,PLED32,Yes,52,FHD,78,474,36972,60,Basic,2,B,45.89389938,10,April
South,Panasonic,LED,PLED50S,Yes,52,UHD,90,474,42660,60,Basic,2,B,29.3720956,10,April
Beirut,Sony,LED,LED55U,Yes,52,FHD,99,475,47025,120,Basic,2,B,80.10571528,4,April
North,Sony,LED,PLED32S,Yes,52,FHD,78,475,37050,60,Basic,2,B,45.89389938,10,April
South,Sony,LED,PLED32,Yes,52,FHD,90,476,42840,60,Basic,2,B,45.89389938,10,April
Bekaa,Panasonic,LED,PLED32S,Yes,52,UHD,77,476,36652,60,Basic,2,B,45.89389938,10,April
Bekaa,TCL,LED,LED50S,Yes,52,FHD,77,476,36652,60,Premium,2,B,107.4588863,10,April
Beirut,Sony,LED,LED50U,Yes,52,FHD,100,476,47600,60,Basic,2,B,88.1162868,10,April
North,Sony,LED,LED55U,Yes,52,FHD,78,477,37206,120,Basic,2,B,80.10571528,4,April
North,Sony,LED,PLED25,Yes,52,FHD,78,477,37206,60,Basic,2,B,58.7441912,10,April
Bekaa,Sony,LED,LED55U,Yes,52,FHD,78,478,37284,120,Basic,2,B,80.10571528,4,April
South,Panasonic,LED,LED55U,Yes,52,UHD,90,478,43020,120,Basic,2,B,80.10571528,4,April
Bekaa,Samsung,LED,LED50S,Yes,52,FHD,77,479,36883,120,Premium,2,B,68.84084907,4,April
Bekaa,Panasonic,LED,PLED40S,Yes,52,UHD,77,480,36960,60,Basic,2,B,36.7151195,10,April
North,Sony,LED,PLED32S,Yes,52,UHD,78,480,37440,60,Basic,2,B,45.89389938,10,April
South,Sony,LED,PLED43S,Yes,52,UHD,90,482,43380,60,Basic,2,B,51.2303993,10,April
North,Sony,LED,LED58U,Yes,52,UHD,78,482,37596,120,Basic,2,B,75.96231621,4,April
Bekaa,Sony,LED,LED55,Yes,52,UHD,77,483,37191,120,Basic,2,B,40.05285764,4,April
North,Sony,LED,T32,Yes,52,UHD,78,483,37674,60,Basic,2,B,45.89389938,10,April
Bekaa,Sony,LED,LED55,Yes,52,UHD,77,484,37268,120,Basic,2,B,40.05285764,4,April
South,Panasonic,LED,LED55U,Yes,52,UHD,90,484,43560,120,Basic,2,B,80.10571528,4,April
North,TCL,LED,LED50S,Yes,52,UHD,78,484,37752,60,Premium,2,B,33.89087954,10,April
South,Sony,LED,PLED40S,Yes,52,UHD,90,485,43650,60,Basic,2,B,36.7151195,10,April
South,Sony,LED,PLED29,Yes,52,UHD,91,485,44135,60,Basic,2,B,50.64154414,10,April
Bekaa,Sony,LED,PLED40S,Yes,52,UHD,77,487,37499,60,Basic,2,B,36.7151195,10,April
Bekaa,Panasonic,LED,LED 55U,Yes,52,UHD,78,487,37986,120,Basic,2,B,80.10571528,4,April
Bekaa,Sony,LED,PLED32,Yes,52,UHD,78,487,37986,60,Basic,2,B,45.89389938,10,April
South,Panasonic,LED,LED55,Yes,52,UHD,90,488,43920,120,Basic,2,B,40.05285764,4,April
Beirut,Sony,LED,PLED40S,Yes,52,UHD,98,489,47922,60,Basic,2,B,36.7151195,10,April
North,Sony,LED,LED55,Yes,52,UHD,78,490,38220,120,Basic,2,B,40.05285764,4,April
Bekaa,Panasonic,LED,LED65U,Yes,52,UHD,76,491,37316,120,Basic,2,B,67.78175908,4,April
